foreign1,foreign2,definitions,level
見せる,みせる,to show; to display,JLPT N-5
鍵,かぎ,key / lock,JLPT N-5
古い,ふるい,old; aged; ancient; antiquated; antique; timeworn / long; since long ago; time-honored / of the distant past; long-ago / stale; threadbare; hackneyed; corny / old-fashioned; outmoded; out-of-date,JLPT N-5
ご飯,ごはん,cooked rice / meal,JLPT N-5
交番,こうばん,police box; small neighborhood police station / alternation; alternating (e.g. current),JLPT N-5
厚い,あつい,thick; deep; heavy / kind; cordial; hospitable; warm; faithful / serious (of an illness) / abundant,JLPT N-5
向こう,むこう,opposite side; other side; opposite direction / over there; that way; far away; beyond / the other party; the other person / future (starting now),JLPT N-5
降る,ふる,"to fall (of rain, snow, ash, etc.); to come down / to form (of frost) / to beam down (of sunlight or moonlight); to pour in / to visit (of luck, misfortune, etc.); to come; to arrive",JLPT N-5
黒い,くろい,black / dark; blackish; sun-tanned (skin) / suspicious; criminal; illicit / darkened and dirty; sooty; covered in dirt / evil; wicked; black-hearted / inauspicious; ill-boding; unlucky,JLPT N-5
今晩,こんばん,tonight; this evening,JLPT N-5
困る,こまる,to be troubled; to be worried; to be bothered; to be embarrassed; to be stumped,JLPT N-5
差す,さす,"to shine / to be visible / to be tinged with / to rise (of water levels); to flow in / to be felt (i.e. as an emotion); to come over one / to hold up (an umbrella, etc.); to put up; to raise / to extend one's arm straight ahead (in dance) / to insert; to put in / to wear (a sword) in one's belt; to wear at one's side; to carry under one's arm / to insert one's arm under an opponent's arm / to pole (a boat) / to pour; to add (liquid); to serve (drinks) / to put on (lipstick, etc.); to apply; to colour; to dye / to light (a fire); to burn / to shut; to close; to lock; to fasten / to stop in the midst of; to leave undone",JLPT N-5
座る,すわる,to sit; to squat / to assume (a position) / to hold steady; to hold still,JLPT N-5
再来年,さらいねん,year after next,JLPT N-5
細い,ほそい,thin; slender; fine / unlucky (billiards slang),JLPT N-5
撮る,とる,"to take (a photo) / to record (video, audio, etc.); to make (a film)",JLPT N-5
始まる,はじまる,to begin; to start; to commence / to happen (again); to begin (anew) / to date (from); to originate (in),JLPT N-5
死ぬ,しぬ,to die; to pass away / to lose spirit; to lose vigor; to look dead / to cease; to stop,JLPT N-5
若い,わかい,young; youthful / immature; green / low (number); small,JLPT N-5
弱い,よわい,weak; frail; delicate; tender; unskilled; weak (wine),JLPT N-5
習う,ならう,to take lessons in; to be taught; to learn (from a teacher); to study (under a teacher); to get training in,JLPT N-5
住む,すむ,to live (of humans); to reside; to inhabit; to dwell; to abide,JLPT N-5
重い,おもい,heavy; weighty; massive / heavy (feeling); depressed; gloomy; blue; uneasy / slow; sluggish; lumbering; ponderous; clumsy / important; serious; grave / serious; severe; critical / solid; established; dignified; sensible,JLPT N-5
できる,出来る,to be able (in a position) to do; to be up to the task / to be ready; to be completed / to be made; to be built / to be good at; to be permitted (to do) / to become intimate; to take up (with somebody) / to grow; to be raised / to become pregnant,JLPT N-5
始め,はじめ,"beginning; start; outset; opening / first (in line, etc.) / origin / such as ...; not to mention ...",JLPT N-5
暑い,あつい,"hot; warm; sultry; heated / passionate; impassioned; burning (desire, etc.) / on everybody's mind; on the radar; du jour; interested (gaze, etc.)",JLPT N-5
小さい,ちいさい,"small; little; tiny / slight; below average (in degree, amount, etc.); minor; small / low (e.g. sound); soft (e.g. voice) / unimportant; petty; insignificant; trifling; trivial / young; juvenile",JLPT N-5
少ない,すくない,few; a little; scarce; insufficient; seldom,JLPT N-5
消える,きえる,to go out; to vanish; to disappear,JLPT N-5
消す,けす,to erase; to delete; to cross out / to turn off power / to extinguish; to put out / to bump off,JLPT N-5
上る,のぼる,"to ascend; to go up; to climb / to ascend (as a natural process, e.g. the sun); to rise / to go to (the capital) / to be promoted / to add up to / to advance (in price) / to swim up (a river); to sail up / to come up (on the agenda)",JLPT N-5
乗る,のる,"to get on (train, plane, bus, ship, etc.); to get in; to board; to take; to embark / to get on (e.g. a footstool); to step on; to jump on; to sit on; to mount / to reach; to go over; to pass / to follow; to stay (on track); to go with (the times, etc.) / to take part; to participate; to join / to get into the swing (and sing, dance, etc.) / to be deceived; to be taken in / to be carried; to be spread; to be scattered / to stick; to attach; to take; to go on",JLPT N-5
食べる,たべる,to eat / to live on (e.g. a salary); to live off; to subsist on,JLPT N-5
