foreign1,foreign2,definitions,level
寝る,ねる,"to lie down / to go to bed; to lie in bed / to sleep (lying down) / to sleep (with someone, i.e. have intercourse) / to lie idle",JLPT N-5
辛い,からい,spicy; hot / salty / harsh (criticism); severe (punishment); strict / painful; bitter; difficult; tough,JLPT N-5
なる,成る,to become; to get; to grow; to be; to reach; to attain / to result in; to prove to be / to consist of; to be composed of / to succeed; to be complete / to change into; to be exchanged for / to play a role / to be promoted / to do ...,JLPT N-5
晴れ,はれ,clear weather; fine weather / formal; ceremonial; public / cleared of suspicion,JLPT N-5
晴れる,はれる,to clear up; to clear away; to be sunny; to stop raining / to refresh (e.g. spirits) / to be cleared (e.g. of a suspicion) / to be dispelled; to be banished,JLPT N-5
青い,あおい,blue; azure / green / pale; gray; grey / unripe; inexperienced,JLPT N-5
石鹸,せっけん,soap,JLPT N-5
洗う,あらう,to wash; to cleanse; to rinse / to inquire into; to investigate / to purify (one's heart) / to lave (e.g. shore); to wash over (e.g. deck); to sweep,JLPT N-5
多い,おおい,many; numerous; a lot / large quantity; large amount / frequent; common,JLPT N-5
太い,ふとい,fat; thick / deep (of a voice); thick; sonorous / daring; shameless; brazen; audacious,JLPT N-5
待つ,まつ,to wait / to await; to look forward to; to anticipate / to depend on; to need,JLPT N-5
貸す,かす,to lend; to loan / to rent out; to hire out,JLPT N-5
たくさん,沢山,a lot; lots; plenty; many; a large number; much; a great deal; a good deal / enough; sufficient / enough; too many; too much,JLPT N-5
脱ぐ,ぬぐ,"to take off (clothes, shoes, etc.); to undress",JLPT N-5
短い,みじかい,short,JLPT N-5
遅い,おそい,slow; time-consuming; sluggish / late (in the day); towards the end (of the day or night); until a time far into the day or night / later (than expected or usual); late; behind schedule; behind time; tardy; overdue; unpunctual / too late; having missed the boat / dull; stupid,JLPT N-5
茶色,ちゃいろ,light brown; tawny,JLPT N-5
飛ぶ,とぶ,to fly; to soar / to jump; to leap; to spring; to bound; to hop,JLPT N-5
長い,ながい,long (distance) / long (time); lengthy,JLPT N-5
痛い,いたい,painful; sore / cringy; embarrassing / exceeding,JLPT N-5
締める,しめる,"to tie; to fasten; to tighten / to wear (necktie, belt); to put on / to total; to sum / to be strict with / to economize; to economise; to cut down on / to salt; to marinate; to pickle; to make sushi adding a mixture of vinegar and salt",JLPT N-5
渡る,わたる,to cross over; to go across / to extend; to cover; to range; to span,JLPT N-5
同じ,おなじ,same; identical; equal; uniform; equivalent; similar; common (origin); changeless; alike / anyway; anyhow; in either case,JLPT N-5
豚肉,ぶたにく,pork,JLPT N-5
曇る,くもる,"to get cloudy; to cloud over; to become overcast / to cloud up; to fog up; to mist up; to become dim / to be gloomy; to be clouded (expression); to be downcast / to look slightly downward (of a noh mask; indicating sadness, grief, etc.)",JLPT N-5
入る,はいる,to enter; to go into / to break into / to join; to enroll / to contain; to hold; to accommodate / to have (an income of) / to get; to receive; to score,JLPT N-5
白い,しろい,white,JLPT N-5
薄い,うすい,"thin / pale; light; faint / watery; thin; dilute / weak (taste, etc.); little (affection, etc.) not much (of a presence) / slim (probability, etc.); small / sparse; patchy; scattered",JLPT N-5
箸,はし,chopsticks,JLPT N-5
八百屋,やおや,greengrocer,JLPT N-5
あちら,彼方,"that way (direction distant from both speaker and listener); over there; yonder / that one (something physically distant from both speaker and listener, or something not visible but known by both speaker and listener); that / that person (someone physically distant from both speaker and listener, or someone not present but known by both speaker and listener) / there (place distant from both speaker and listener); over there; foreign country (esp. a Western nation)",JLPT N-5
疲れる,つかれる,to get tired; to tire / to be worn out (e.g. of well used objects) / to starve,JLPT N-5
風呂,ふろ,"bath; bathtub / bathroom; bathhouse / room for drying lacquerware / base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)",JLPT N-5
並ぶ,ならぶ,to line up; to stand in a line / to rival; to match; to equal,JLPT N-5
閉める,しめる,to close; to shut,JLPT N-5
忙しい,いそがしい,busy; occupied; hectic / restless; hurried; fidgety,JLPT N-5
本棚,ほんだな,bookshelves; bookshelf; bookcase,JLPT N-5
毎晩,まいばん,every night,JLPT N-5
また,又,again; and; also; still (doing something),JLPT N-5
万年筆,まんねんひつ,fountain pen,JLPT N-5
面白い,おもしろい,interesting; fascinating; intriguing; enthralling / amusing; funny; comical / pleasant; enjoyable; agreeable; fun,JLPT N-5
遊ぶ,あそぶ,"to play; to enjoy oneself; to have a good time / to mess about (with alcohol, gambling, philandery, etc.) / to be idle; to do nothing; to be unused / to go to (for pleasure or for study) / to intentionally throw a ball to lower the batter's concentration",JLPT N-5
夕べ,ゆうべ,evening / last night; yesterday evening,JLPT N-5
欲しい,ほしい,wanted; wished for; in need of; desired / I want (you) to,JLPT N-5
来る,くる,"to come (spatially or temporally); to approach; to arrive / to come back; to do ... and come back / to come to be; to become; to get; to grow; to continue / to come from; to be caused by; to derive from / to come to (i.e. ""when it comes to spinach ..."")",JLPT N-5
涼しい,すずしい,cool; refreshing / clear (e.g. eyes); bright / clear; distinct / composed (facial expression); unruffled; unconcerned / pure; upright; innocent,JLPT N-5
冷たい,つめたい,cold (to the touch); chilly; icy; freezing / coldhearted; unfeeling; indifferent; unfriendly,JLPT N-5
れい,零,zero; nought,JLPT N-5
話す,はなす,to talk; to speak; to converse; to chat / to tell; to explain; to narrate; to mention; to describe; to discuss / to speak (a language),JLPT N-5
一昨日,おととい,day before yesterday,JLPT N-5
なぜ,何故,why; how,JLPT N-5
どこ,何処,"where; what place / how much (long, far); what extent",JLPT N-5
かわいい,可愛い,cute; adorable; charming; lovely; pretty / dear; precious; darling; pet / innocent; childlike; childish; lovable / dainty; cute little; tiny,JLPT N-5
今朝,けさ,this morning,JLPT N-5
上着,うわぎ,coat; tunic; jacket; outer garment,JLPT N-5
丈夫,じょうぶ,healthy; robust; strong; solid; durable,JLPT N-5
夕飯,ゆうはん,evening meal,JLPT N-5
あまり,余り,remainder; remnant; rest; balance; surplus; remains (of a meal); leftovers / not very; not much / too much; excessively; overly / extreme; great; severe; tremendous; terrible / more than; over,JLPT N-5
暖かい,あたたかい,warm; mild; (pleasantly) hot / considerate; kind; genial / warm (of a colour); mellow / having enough money,JLPT N-5
いろいろ,色々,various; all sorts of; variety of / various colors (colours),JLPT N-5
曇り,くもり,"cloudiness; cloudy weather / fog (on a mirror, glasses, etc.); cloud (e.g. in marble); blur; mist; shadow; dimness / gloom; dejection",JLPT N-5
醤油,しょうゆ,soy sauce; shoyu,JLPT N-5
立つ,たつ,"to stand; to rise; to stand up / to find oneself (e.g. in a difficult position) / to depart (on a plane, train, etc.)",JLPT N-5
たばこ,煙草,tobacco; cigarette; cigaret; cigar / tobacco plant (Nicotiana tabacum),JLPT N-5
だんだん,段々,gradually; by degrees; little by little; more and more; increasingly / steps; stairs; staircase; terrace,JLPT N-5
飲み物,のみもの,drink; beverage,JLPT N-5
丸い,まるい,round; circular; spherical / harmonious; calm,JLPT N-5
目,め,eye; eyeball / eyesight; sight; vision / look; stare; glance / an experience / viewpoint / stitch; texture; weave / ordinal number suffix / somewhat; -ish,JLPT N-5
アパート,,apartment building; apartment block; apartment house / apartment,JLPT N-5
エレベーター,,elevator; lift / elevator (aviation),JLPT N-5
カップ,,"cup (drinking vessel, measure, brassiere, prize, etc.) / instant noodles purchased in cup; cup noodles",JLPT N-5
カメラ,,camera,JLPT N-5
カレー,咖哩,curry / rice and curry,JLPT N-5
カレンダー,,calendar / calender (machine for flattening things),JLPT N-5
キロ,,kilo-; 1000 / kilogram; kilogramme / kilometre; kilometer / kilo-; 1024; 2^10,JLPT N-5
ギター,,guitar,JLPT N-5
クラス,,class,JLPT N-5
グラム,瓦,gram; gramme,JLPT N-5
コート,,"coat / court (i.e. tennis, basketball, etc.)",JLPT N-5
コーヒー,珈琲,coffee,JLPT N-5
コップ,,glass (drinking vessel); tumbler / cop (police officer),JLPT N-5
コピー,,copy; photocopy / blurb on a book jacket / catch copy,JLPT N-5
シャツ,,"shirt (underwear); undershirt; singlet / shirt (outerwear, esp. dress shirt)",JLPT N-5
シャワー,,shower,JLPT N-5
スカート,,skirt,JLPT N-5
ストーブ,,(room) heater; stove,JLPT N-5
スプーン,,spoon,JLPT N-5
スポーツ,,sport; sports,JLPT N-5
スリッパ,,slipper; slippers,JLPT N-5
ズボン,,trousers; pants,JLPT N-5
セーター,,sweater; jumper,JLPT N-5
タクシー,,taxi,JLPT N-5
テーブル,,table,JLPT N-5
テープ,,tape,JLPT N-5
テープレコーダー,,tape recorder,JLPT N-5
テスト,,test,JLPT N-5
テレビ,,television; TV / TV program; TV programme; TV broadcast,JLPT N-5
デパート,,department store / department,JLPT N-5
トイレ,,toilet; restroom; bathroom; lavatory,JLPT N-5
ドア,,door (Western-style),JLPT N-5
ナイフ,,knife,JLPT N-5
ニュース,,news,JLPT N-5
ネクタイ,,tie; necktie,JLPT N-5
ノート,,notebook; copy-book; exercise book / note; noting down / (musical) note / notebook computer; laptop,JLPT N-5
ハンカチ,,handkerchief,JLPT N-5
バス,,bus / bath / bass,JLPT N-5
バター,,butter,JLPT N-5
パーティ,,party,JLPT N-5
パン,,bread; pastries (e.g. croissants); pastry-based products / pan; frying pan / panning (in a film),JLPT N-5
フィルム,,film,JLPT N-5
フォーク,,fork / folk; folk song / hawk,JLPT N-5
プール,,(swimming) pool / pool (billiards) / pool (together),JLPT N-5
ベッド,,bed,JLPT N-5
ページ,頁,page,JLPT N-5
ペン,,pen,JLPT N-5
ホテル,,hotel,JLPT N-5
ボールペン,,ball-point pen,JLPT N-5
ボタン,,button,JLPT N-5
ポケット,,pocket,JLPT N-5
ポスト,,postbox; mail box; pillar box / post; position / post (e.g. goalpost) / post- (e.g. post-Cold War),JLPT N-5
マッチ,燐寸,match (to light fire with),JLPT N-5
メートル,米,metre; meter / meter; gauge,JLPT N-5
ラジオ,,radio,JLPT N-5
レコード,,record (e.g. LP) / record (e.g. in sports) / record (data structure),JLPT N-5
レストラン,,restaurant (esp. Western-style),JLPT N-5
ワイシャツ,Ｙシャツ,shirt; business shirt; dress shirt,JLPT N-5
ちょっと,一寸,a little; a bit; slightly / just a minute; for a moment; briefly / somewhat; rather; fairly; pretty; quite / (not) easily; (not) readily / hey!; excuse me,JLPT N-5
他,ほか,"other (place, thing, person); the rest / outside; beyond / nothing except; nothing but; nothing apart from; nothing aside from; no choice (but to) / besides...; in addition to...",JLPT N-5
十日,とおか,the tenth day of the month / ten days,JLPT N-5
答える,こたえる,to answer; to reply,JLPT N-5
いる,要る,to be needed; to be wanted,JLPT N-5
一日,いちにち,one day / first day of the month,JLPT N-5
開く,あく,"to open (e.g. doors) / to open (e.g. business, etc.) / to be empty / to be vacant; to be available; to be free / to be open (e.g. neckline, etc.) / to have been opened (of one's eyes, mouth, etc.) / to come to an end / to open (one's eyes, mouth, etc.) / to have a hole; to form a gap; to have an interval (between events)",JLPT N-5
朝ご飯,あさごはん,breakfast,JLPT N-5
聞く,きく,to hear / to listen (e.g. to music) / to ask; to enquire; to query / to learn of; to hear about / to follow (advice); to comply with / to smell (esp. incense); to sample fragrance,JLPT N-5
きれい,奇麗,pretty; lovely; beautiful; fair / clean; clear; pure; tidy; neat / completely; entirely,JLPT N-5
一日,ついたち,first day of the month / first ten days of the lunar month,JLPT N-5
あそこ,彼処,there (place physically distant from both speaker and listener); over there; that place; yonder; you-know-where / genitals; private parts / that far (something psychologically distant from both speaker and listener); that much; that point,JLPT N-5
あれ,彼,"that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly) / that person (used to refer to one's equals or inferiors) / over there / down there (i.e. one's genitals) / period; menses / hey (expression of surprise, suspicion, etc.); huh?; eh? / that (something mentioned before which is distant psychologically or in terms of time)",JLPT N-5
ええ,,yes; that is correct; right / um; errr / huh? / grrr; gah; Must I? / good,JLPT N-5
お菓子,おかし,confections; sweets; candy,JLPT N-5
お兄さん,おにいさん,older brother; elder brother / young man; buddy; fella; laddie,JLPT N-5
お姉さん,おねえさん,elder sister / young lady / miss / ma'am / older girl,JLPT N-5
お手洗い,おてあらい,toilet; restroom; lavatory; bathroom,JLPT N-5
おじいさん,お祖父さん,grandfather / male senior-citizen,JLPT N-5
おばあさん,お祖母さん,grandmother / old woman; female senior citizen,JLPT N-5
お腹,おなか,belly; abdomen; stomach,JLPT N-5
こちら,此方,this way (direction close to the speaker or towards the speaker); this direction / here (place close to the speaker or where the speaker is) / this one (something physically close to the speaker) / I; me; we; us / this person (someone physically close to the speaker and of equal or higher status),JLPT N-5
こんな,,"such (about something or someone close to the speaker (including the speaker), or about ideas expressed by the speaker); like this",JLPT N-5
さあ,,come; come now; come along; go on; hurry up / well; who knows; I don't know...; uh; hmm / well now; let's see; there we go; all right / about that; you see,JLPT N-5
じゃあ,,then; well; so; well then / combination of 'de' and 'wa' particles / plain copula,JLPT N-5
そちら,其方,"that way (direction distant from the speaker, close to the listener) / there (place distant from the speaker, close to the listener) / that one (something close to the listener) / you; your family; your company / that person (someone close to the listener)",JLPT N-5
それ,其れ,"that (indicating an item or person near the listener, the action of the listener, or something on their mind); it / that time; then / there (indicating a place near the listener) / you",JLPT N-5
それから,其れから,and then; after that,JLPT N-5
つまらない,詰らない,dull; uninteresting; boring; tedious / insignificant; unimportant; trifling; trivial; worthless / absurd; foolish; silly; stupid / useless; pointless; disappointing,JLPT N-5
では,,then; well; so; well then,JLPT N-5
とても,迚も,very; awfully; exceedingly / (not) at all; by no means; simply (cannot),JLPT N-5
どう,如何,how; in what way; how about,JLPT N-5
どうも,,"thank you; thanks / much (thanks); very (sorry); quite (regret) / quite; really; mostly / somehow / in spite of oneself; try as one might; no matter how hard one may try (to, not to) / greetings; hello; goodbye",JLPT N-5
どれ,何れ,which (of three or more) / whichever; any / well; now; let me see,JLPT N-5
もう,,now; soon; shortly; before long; presently / already; yet; by now; (not) anymore / further; more; again; another; the other / tsk; dammit; jeez; come on,JLPT N-5
もっと,,(some) more; even more; longer; further,JLPT N-5
やる,遣る,"to do; to undertake; to perform; to play (a game); to study / to send; to dispatch; to despatch / to put; to move; to turn (one's head, glance, etc.) / to give (esp. to someone of equal or lower status); to let have; to present; to bestow; to confer / to make (a vehicle) go faster / to run (a business); to keep; to be engaged in; to practice (law, medicine, etc.); to practise / to have (food, drink, etc.); to eat; to drink; to smoke / to hold (a performance); to perform; to show / to ease (one's mind) / to harm; to injure; to kill / to have sex with / to live; to get by; to get along / to do ... completely / to do ... broadly; to do ... to a great distance / to do ... for (someone of equal or lower status); to do ... to (sometimes with negative nuance) / to make active efforts to ...",JLPT N-5
ゆっくり,,slowly; at ease; restful,JLPT N-5
より,,than / from; out of; since; at; on / except; but; other than / more,JLPT N-5
する,為る,"to do; to carry out; to perform / to cause to become; to make (into); to turn (into) / to serve as; to act as; to work as / to wear (clothes, a facial expression, etc.) / to judge as being; to view as being; to think of as; to treat as; to use as / to decide on; to choose / to be sensed (of a smell, noise, etc.) / to be (in a state, condition, etc.) / to be worth; to cost / to pass (of time); to elapse / to place, or raise, person A to a post or status B / to transform A to B; to make A into B; to exchange A for B / to make use of A for B; to view A as B; to handle A as if it were B / to feel A about B / verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs"") / creates a humble verb (after a noun prefixed with ""o"" or ""go"") / to be just about to; to be just starting to; to try to; to attempt to",JLPT N-5
引く,ひく,"to pull; to tug; to lead (e.g. a horse) / to draw (attention, sympathy, etc.); to attract (e.g. interest) / to draw back (e.g. one's hand); to draw in (one's chin, stomach, etc.); to pull in / to draw (a card, mahjong tile, etc.) / to draw (a line, plan, etc.) / to catch (a cold) / to play (a stringed or keyboard instrument) / to look up (e.g. a dictionary); to consult / to haul; to pull (vehicles) / to subtract; to deduct / to recede; to ebb; to fade / to be descend from; to inherit (a characteristic) / to quote; to cite; to raise (as evidence) / to lay on (electricity, gas, etc.); to install (e.g. a telephone); to supply (e.g. water) / to hold (e.g. a note) / to apply (e.g. lipstick); to oil (e.g. a pan); to wax (e.g. a floor) / to move back; to draw back; to recede / to lessen; to subside; to ebb / to resign; to retire; to quit",JLPT N-5
奥さん,おくさん,wife; your wife; his wife; married lady; madam,JLPT N-5
ぬるい,温い,lukewarm; tepid / lenient / slow; stupid,JLPT N-5
下,した,below; down; under; younger (e.g. daughter) / bottom / beneath; underneath / just after; right after / inferiority; one's inferior (i.e. one's junior) / trade-in / preliminary; preparatory,JLPT N-5
いつも,何時も,always; usually; every time / never,JLPT N-5
どうぞ,,please; kindly; I beg of you / by all means; feel free; you are welcome / here you are,JLPT N-5
どちら,何方,which way; which direction; where / which one (esp. of two alternatives) / who,JLPT N-5
どなた,何方,who?,JLPT N-5
家,いえ,house; residence; dwelling / family; household / lineage; family name,JLPT N-5
開ける,あける,"to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock / to open (for business, etc.) / to empty; to remove; to make space; to make room / to move out; to clear out / to be away from (e.g. one's house); to leave (temporarily) / to dawn; to grow light / to end (of a period, season) / to begin (of the New Year) / to leave (one's schedule) open; to make time (for) / to make (a hole); to open up (a hole)",JLPT N-5
かばん,鞄,bag; satchel; briefcase; basket,JLPT N-5
あなた,貴方,you (referring to someone of equal or lower status) / dear (what a wife calls a husband),JLPT N-5
近く,ちかく,"near; neighbourhood; neighborhood; vicinity / nearly (e.g. ""it took nearly one year""); close to / shortly; soon",JLPT N-5
金曜日,きんようび,Friday,JLPT N-5
九日,ここのか,the ninth day of the month / nine days,JLPT N-5
空,そら,sky; the air; the heavens / weather / far-off place; distant place / state of mind; feeling / (from) memory; (by) heart / falsehood; lie / somehow; vaguely / fake,JLPT N-5
月曜日,げつようび,Monday,JLPT N-5
五日,いつか,the fifth day of the month / five days,JLPT N-5
好き,すき,liked; well-liked; favourite; favorite / in love (with); loved; romantically interested (in) / faddism; eccentricity / the way one likes; (as) it suits one,JLPT N-5
ここ,此処,"here (place physically close to the speaker, place pointed by the speaker while explaining); this place / these last (followed by a duration noun and a past sentence: time period before the present time of the speaker) / these next ... (followed by a duration noun and a non past sentence: time period after the present time of the speaker); the next ...",JLPT N-5
咲く,さく,to bloom,JLPT N-5
三日,みっか,the third day of the month / three days,JLPT N-5
四日,よっか,fourth day of the month / four days,JLPT N-5
字引,じびき,dictionary,JLPT N-5
次,つぎ,next; following; subsequent / stage; station,JLPT N-5
初めて,はじめて,for the first time / only after ... is it ...; only when ... do you ...,JLPT N-5
ところ,所,place; spot; scene; site / address / district; area; locality / one's house / point; aspect; side; facet / passage (in text); part / space; room / thing; matter / whereupon; as a result / about to; on the verge of / was just doing; was in the process of doing; have just done; just finished doing,JLPT N-5
書く,かく,to write; to compose; to pen / to draw; to paint,JLPT N-5
上,うえ,"above; up; over; elder (e.g. daughter) / top; summit / surface; on / before; previous / superiority; one's superior (i.e. one's elder) / on top of that; besides; what's more / upon (further inspection, etc.); based on (and occurring after) / matters concerning...; as concerns ... / since (i.e. ""for that reason"") / suffix indicating higher social standing / place of one's superior (i.e. the throne) / emperor; sovereign; shogun; daimyo / noblewoman (esp. the wife of a nobleman)",JLPT N-5
吹く,ふく,to blow (e.g. wind); to play a wind instrument / to whistle / to laugh; to burst into laughter / to smelt; to mint / to brag; to talk big,JLPT N-5
水曜日,すいようび,Wednesday,JLPT N-5
生まれる,うまれる,to be born,JLPT N-5
先,さき,previous; prior; former; first; earlier; some time ago; preceding / point (e.g. pencil); tip; end; nozzle / head (of a line); front / ahead; the other side / the future; hereafter / destination / the other party,JLPT N-5
前,まえ,ago; before (some event); previously; (minutes) to (the hour) / in front (of); before (e.g. the house) / head (of a line); front (e.g. of a bus); fore part / in the presence of / helping; portion / privates; private parts,JLPT N-5
それでは,其れでは,well then ... / in that situation; in which case,JLPT N-5
誕生日,たんじょうび,birthday,JLPT N-5
弾く,ひく,to play (a stringed or keyboard instrument),JLPT N-5
置く,おく,"to put; to place / to leave (behind) / to establish (an organization, a facility, a position, etc.); to set up / to appoint (someone to a certain position); to hire; to employ / to place (one's trust, one's faith, etc); to bear (in mind etc) / to put down a tool (e.g. a pen) hence stopping what one is doing with that tool / to take in (boarders, etc.); to provide lodging in one's house / to separate spatially or temporally / to do something in advance / to leave something in a certain state; to keep something in a certain state",JLPT N-5
着く,つく,to arrive at; to reach / to sit on; to sit at (e.g. the table),JLPT N-5
中,なか,inside; in / among; within / center (centre); middle / during; while,JLPT N-5
ちょうど,丁度,exactly; precisely; just; right / as if; as though; quite,JLPT N-5
土曜日,どようび,Saturday,JLPT N-5
働く,はたらく,to work; to labor; to labour / to function; to operate; to be effective; to work (i.e. ... works); to come into play / to commit (e.g. a crime); to perpetrate; to do; to act; to practise; to practice / to be conjugated,JLPT N-5
二日,ふつか,second day of the month / two days,JLPT N-5
賑やか,にぎやか,bustling; busy; lively,JLPT N-5
日曜日,にちようび,Sunday,JLPT N-5
入れる,いれる,"to put in; to let in; to take in; to bring in; to insert; to set (a jewel, etc.); to ink in (e.g. a tattoo) / to admit; to accept; to employ; to hire / to accept; to comply; to grant; to adopt (a policy, etc.); to take (advice, etc.); to listen to; to pay attention to / to include / to pay (one's rent, etc.) / to cast (a vote) / to make (tea, coffee, etc.) / to turn on (a switch, etc.) / to send (a fax); to call",JLPT N-5
どうして,如何して,why?; for what reason; how; in what way; for what purpose; what for,JLPT N-5
八日,ようか,the eighth day of the month / eight days,JLPT N-5
うるさい,煩い,noisy; loud / annoying; troublesome; tiresome; persistent; importunate / fussy; finicky; picky; particular; nagging; fastidious; bossy / shut up!; be quiet!,JLPT N-5
おいしい,美味しい,delicious; tasty; sweet / attractive; appealing; convenient; favorable; desirable; profitable,JLPT N-5
まずい,不味い,unappetising; unappetizing; unsavoury; unsavory; unpleasant / unskillful; unskilful; bungling; clumsy; poor / ugly; unattractive; homely; plain / awkward; problematic; troublesome; unfavorable; unfavourable; unwise,JLPT N-5
風,かぜ,wind; breeze; draught; draft / manner; behaviour; behavior / cold; influenza,JLPT N-5
物,もの,"thing; object; article; stuff; substance / one's things; possessions; property; belongings / things; something; anything; everything; nothing / quality / reason; the way of things / used to emphasize emotion, judgment, etc.; used to indicate a common occurrence in the past (after a verb in past tense); used to indicate a general tendency; used to indicate something that should happen / item classified as ...; item related to ...; work of ... / cause of ...; cause for ... / somehow; somewhat; for some reason / really; truly",JLPT N-5
しかし,然し,however; but,JLPT N-5
並べる,ならべる,to line up; to set up; to arrange in a line / to enumerate; to itemize / to be equal (to); to compare well (with); to be as good (as),JLPT N-5
歩く,あるく,to walk,JLPT N-5
方,かた,"direction; way / person; lady; gentleman / method of; manner of; way of / care of ... / person in charge of ... / side (e.g. ""on my mother's side"")",JLPT N-5
忘れる,わすれる,to forget; to leave carelessly; to be forgetful of; to forget about; to forget (an article),JLPT N-5
本,ほん,"book; volume; script / this; present / main; head / real; regular / counter for long cylindrical things; counter for films, TV shows, etc.; counter for goals, home runs, etc.; counter for telephone calls",JLPT N-5
磨く,みがく,to polish; to shine; to brush (e.g. teeth); to grind (e.g. lens) / to refine (e.g. a skill); to improve; to cultivate,JLPT N-5
まだ,未だ,as yet; hitherto; only; still / not yet / more; besides / unfinished; incomplete; not yet finished with,JLPT N-5
なくす,無くす,to lose (something); to mislay / to get rid of; to eliminate; to remove,JLPT N-5
鳴く,なく,"to sing (bird) / to make sound (animal); to call; to cry; to chirp / to make a meld call (e.g. pung, kong)",JLPT N-5
木曜日,もくようび,Thursday,JLPT N-5
はがき,葉書,postcard / memo; note; card,JLPT N-5
六日,むいか,sixth day of the month / six days,JLPT N-5
いる,居る,to be (of animate objects); to exist / to stay / to be ...-ing; to have been ...-ing,JLPT N-5
