foreign1,foreign2,definitions,level
食卓,しょくたく,dining table,JLPT N-3
相続,そうぞく,succession; inheritance,JLPT N-3
断る,ことわる,to refuse; to reject; to dismiss; to turn down; to decline / to inform; to give notice; to tell in advance / to ask leave; to excuse oneself (from),JLPT N-3
通学,つうがく,commuting to school; school commute,JLPT N-3
泥,どろ,mud; slush; (wet) dirt; mire / thief,JLPT N-3
当てる,あてる,to hit / to expose / to apply (e.g. patch); to put on; to put against; to hold on; to hold against / to allot; to call on someone (e.g. in class) / to guess (an answer) / to make a hit (e.g. in a lottery),JLPT N-3
毒,どく,poison; toxicant / harm; evil influence / ill will; spite; malice / abusive language,JLPT N-3
望み,のぞみ,wish; desire; hope / prospect; expectation; (one's) hopes,JLPT N-3
友情,ゆうじょう,friendship; fellowship; camaraderie,JLPT N-3
誘う,さそう,"to invite; to ask (someone to do); to call (for); to take (someone) along / to tempt; to lure; to entice; to seduce / to induce (tears, laughter, sleepiness, etc.); to arouse (e.g. sympathy); to provoke",JLPT N-3
翼,つばさ,"wing / Chinese ""Wings"" constellation (one of the 28 mansions) / counter for birds or bird wings",JLPT N-3
係,かかり,charge; duty; person in charge; official; clerk / connection; linking,JLPT N-3
愛する,あいする,to love,JLPT N-3
握手,あくしゅ,handshake,JLPT N-3
鋭い,するどい,sharp (blade); pointed / sharp (pain); stabbing; cutting (remark); stinging; pointed (question or look); screeching (noise) / perceptive; keen; quick (mind); astute; shrewd; discerning / nimble; agile; quick,JLPT N-3
炎,ほのお,"flame; blaze / flames (of intense emotion, e.g. love, jealousy, anger); passion",JLPT N-3
勘定,かんじょう,calculation; computation; counting; reckoning; count / bill; check; account; payment (of a bill); settlement (of an account) / consideration; allowance,JLPT N-3
苦痛,くつう,pain; agony; bitterness,JLPT N-3
交際,こうさい,company; friendship; association; society; acquaintance,JLPT N-3
幸福,こうふく,happiness; well-being; joy; welfare; blessedness,JLPT N-3
高価,こうか,high price,JLPT N-3
穀物,こくもつ,grain; cereal; corn,JLPT N-3
婚約,こんやく,engagement; betrothal,JLPT N-3
混雑,こんざつ,congestion; crush; crowding; jam / confusion; disorder,JLPT N-3
失望,しつぼう,disappointment; despair,JLPT N-3
順番,じゅんばん,turn (in line); order of things; sequential order,JLPT N-3
承知,しょうち,knowledge; awareness / consent; acceptance; assent; admitting; compliance; agreement; acknowledgment; acknowledgement / forgiving; pardoning; excusing,JLPT N-3
食物,しょくもつ,food; foodstuff,JLPT N-3
舌,した,tongue / tongue-like object; clapper (of a bell); talon (of a lock),JLPT N-3
中古,ちゅうこ,used; second-hand; old / Middle Ages,JLPT N-3
徹夜,てつや,staying up all night,JLPT N-3
土産,みやげ,present; souvenir,JLPT N-3
頭痛,ずつう,headache,JLPT N-3
鍋,なべ,saucepan; pot / stew; hot pot,JLPT N-3
日光,にっこう,sunlight; sunshine; sunbeams,JLPT N-3
配達,はいたつ,delivery; distribution,JLPT N-3
